id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
51143502,Guest suite in Boston · ★4.98 · 1 bedroom · 2 beds · 1 bath,Dorchester,42.28914,-71.07021,Entire home/apt,170,2,42,1.77,1,324,22
51143720,Condo in Boston · ★4.85 · 2 bedrooms · 2 beds · 1 bath,Beacon Hill,42.3597,-71.06796,Entire home/apt,117,28,27,1,68,283,21
51154191,Condo in Boston · ★4.76 · Studio · 1 bed · 1 bath,North End,42.36781,-71.05559,Entire home/apt,106,1,224,7.65,1,0,74
51176342,Bed and breakfast in Boston · ★4.93 · 1 bedroom · 1 bed · 1 private bath,Fenway,42.35051,-71.09503,Private room,169,1,204,7.01,7,275,86
51190495,Home in Boston · 1 bedroom · 1 bed · 2 shared baths,Roxbury,42.32862,-71.09193,Private room,58,30,1,0.14,74,269,1
51192155,Home in Boston · 1 bedroom · 1 bed · 2 shared baths,Roxbury,42.32868,-71.09233,Private room,80,29,1,0.67,74,136,1
51218046,Condo in Boston · ★4.87 · 3 bedrooms · 3 beds · 1 bath,Mattapan,42.2736,-71.07051,Entire home/apt,149,2,23,1.33,3,360,10
51229537,Home in Boston · ★4.85 · 4 bedrooms · 4 beds · 2 baths,Brighton,42.34446,-71.1492,Entire home/apt,,2,123,4.24,1,0,72
51234805,Bed and breakfast in Boston · ★4.92 · 1 bedroom · 1 bed · 1 private bath,Fenway,42.35087,-71.09642,Private room,128,1,210,7.27,7,0,87
51274775,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Brighton,42.3477738,-71.1460998,Entire home/apt,190,32,0,,339,335,0
51274818,Rental unit in Boston · Studio · 1 bed · 1 bath,Brighton,42.3477738,-71.1460998,Entire home/apt,102,32,2,0.08,339,362,0
51279945,Condo in Boston · ★4.93 · 2 bedrooms · 3 beds · 2.5 baths,South End,42.34023,-71.08006,Entire home/apt,248,2,89,6.64,1,228,81
51284572,Serviced apartment in Boston · ★4.63 · Studio · 1 bed · 1 bath,Downtown,42.35395,-71.05996,Entire home/apt,152,1,136,4.7,72,326,30
51300156,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Back Bay,42.3505139,-71.089844,Entire home/apt,176,32,1,0.08,339,199,1
51307010,Rental unit in Boston · ★4.32 · Studio · 1 bed · 1 bath,North End,42.36778,-71.05767,Entire home/apt,93,9,19,0.67,21,304,11
51320323,Rental unit in Boston · ★4.92 · Studio · 1 bed · 1 bath,South End,42.34265,-71.08161,Entire home/apt,88,2,171,6.14,12,185,58
